sheet_name,field_name,description_ko,data_type,unit_or_timezone,classification,formula_or_provenance,null_meaning
01_vehicle_master,vehicle_age_raw_observed,vehicle age raw observed,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,inspection_due_date_observed,inspection due date observed,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,expiration_date_observed,expiration date observed,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,color_observed,color observed,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,model_release_price_krw_observed,Model-level release/list price if populated; not vehicle purchase price.,integer,KRW,observed,vehicle_model.release_price,Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,erp_record_created_at_utc,erp record created at utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,erp_record_updated_at_utc,erp record updated at utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,row_scope,row scope,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,row_classification,row classification,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
02_daily_fleet_model,snapshot_date_utc,snapshot date utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
02_daily_fleet_model,snapshot_at_utc,snapshot at utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
02_daily_fleet_model,vehicle_model_id,ERP vehicle model surrogate key.,integer,id,observed,vehicle_model.id / reservation.vehicle_model_id,Unavailable/not applicable/not populated; see status/limitation columns.
02_daily_fleet_model,model_name,model name,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
02_daily_fleet_model,vehicle_class,vehicle class,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
02_daily_fleet_model,current_non_deleted_vehicle_count,current non deleted vehicle count,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
02_daily_fleet_model,usable_state_count,usable state count,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
02_daily_fleet_model,unusable_state_count,unusable state count,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
02_daily_fleet_model,currently_assigned_vehicle_count_strong_join,currently assigned vehicle count strong join,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
02_daily_fleet_model,current_assignment_share_proxy_formula,Current assigned vehicle share at one snapshot.,formula,ratio,derived,currently_assigned_vehicle_count / current_non_deleted_vehicle_count,Unavailable/not applicable/not populated; see status/limitation columns.
02_daily_fleet_model,metric_classification,metric classification,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
02_daily_fleet_model,limitation,limitation,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,vehicle_id,ERP internal vehicle surrogate key; plate number excluded.,integer,id,observed,vehicle.id,Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,vehicle_model_id,ERP vehicle model surrogate key.,integer,id,observed,vehicle_model.id / reservation.vehicle_model_id,Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,model_name,model name,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,erp_record_created_at_utc_observed_not_acquisition,erp record created at utc observed not acquisition,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,vehicle_registration_date_observed_not_acquisition,vehicle registration date observed not acquisition,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,erp_soft_deleted_at_utc_observed_not_sale,erp soft deleted at utc observed not sale,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,acquisition_date,Requested field intentionally blank.,blank,date,unavailable,not present in verified ERP schema,Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,acquisition_date_status,acquisition date status,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,purchase_price_krw,Requested field intentionally blank.,blank,KRW,unavailable,not present in verified ERP schema,Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,purchase_price_status,purchase price status,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,sale_or_disposal_date,Requested field intentionally blank.,blank,date,unavailable,not present in verified ERP schema,Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,sale_or_disposal_date_status,sale or disposal date status,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,sale_price_krw,Requested field intentionally blank.,blank,KRW,unavailable,not present in verified ERP schema,Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,sale_price_status,sale price status,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,holding_period_days,Requested metric intentionally blank because acquisition/sale dates are unavailable.,blank,days,unavailable,requires verified lifecycle dates,Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,holding_period_status,holding period status,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
03_asset_lifecycle,classification,classification,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,vehicle_id,ERP internal vehicle surrogate key; plate number excluded.,integer,id,observed,vehicle.id,Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,vehicle_model_id,ERP vehicle model surrogate key.,integer,id,observed,vehicle_model.id / reservation.vehicle_model_id,Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,model_name,model name,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,vehicle_class,vehicle class,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,maintenance_event_count,maintenance event count,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,first_maintenance_incoming_at_utc,first maintenance incoming at utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,last_maintenance_release_at_utc,last maintenance release at utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,maintenance_cost_krw_sum_observed,Sum of vehicle_maintenance.cost; interpretation should be confirmed with Jejuro.,integer,KRW,observed aggregate,SUM(vehicle_maintenance.cost),Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,legacy_part_price_krw_sum_observed,legacy part price krw sum observed,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,detail_part_price_krw_sum_observed,Sum of non-deleted maintenance detail part_price.,integer,KRW,observed aggregate,SUM(vehicle_maintenance_detail.part_price),Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,mileage_observation_count,mileage observation count,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,min_maintenance_mileage_km,min maintenance mileage km,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,max_maintenance_mileage_km,max maintenance mileage km,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,insurance_cost_krw,Requested fleet insurance cost intentionally blank.,blank,KRW,unavailable,customer fee tables are not cost ledger,Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,insurance_cost_status,insurance cost status,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,classification,classification,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
04_maintenance_vehicle,cost_warning,cost warning,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
05_maintenance_events,maintenance_id,maintenance id,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
05_maintenance_events,vehicle_id,ERP internal vehicle surrogate key; plate number excluded.,integer,id,observed,vehicle.id,Unavailable/not applicable/not populated; see status/limitation columns.
05_maintenance_events,vehicle_model_id,ERP vehicle model surrogate key.,integer,id,observed,vehicle_model.id / reservation.vehicle_model_id,Unavailable/not applicable/not populated; see status/limitation columns.
05_maintenance_events,model_name,model name,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
05_maintenance_events,maintenance_type,maintenance type,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
05_maintenance_events,incoming_at_utc,incoming at utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
05_maintenance_events,releasing_at_utc,releasing at utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
05_maintenance_events,maintenance_cost_krw_observed,maintenance cost krw observed,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
05_maintenance_events,legacy_part_price_krw_observed,legacy part price krw observed,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
05_maintenance_events,detail_part_price_krw_observed,detail part price krw observed,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
05_maintenance_events,mileage_at_maintenance_km_observed,mileage at maintenance km observed,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
05_maintenance_events,classification,classification,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,vehicle_id,ERP internal vehicle surrogate key; plate number excluded.,integer,id,observed,vehicle.id,Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,vehicle_model_id,ERP vehicle model surrogate key.,integer,id,observed,vehicle_model.id / reservation.vehicle_model_id,Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,model_name,model name,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,vehicle_class,vehicle class,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,valid_reservation_count_strong_join,valid reservation count strong join,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,first_pickup_at_utc,first pickup at utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,last_dropoff_at_utc,last dropoff at utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,rows_with_final_price,rows with final price,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,booked_final_price_krw_sum_proxy,Booked final price sum for valid reservations; not accounting revenue.,integer,KRW,observed aggregate/proxy,SUM(reservation.final_price),Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,average_booked_final_price_krw_formula,Average among rows with non-null final_price.,formula,KRW/reservation,derived,booked price sum / rows_with_final_price,Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,booked_rental_hours_sum,booked rental hours sum,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,mileage_observation_count,mileage observation count,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,observed_driven_km_sum,observed driven km sum,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,true_utilization_rate,Requested metric intentionally blank because denominator is unavailable.,blank,ratio,unavailable,requires historical available fleet-hours,Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,true_utilization_status,true utilization status,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,join_method,join method,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,join_quality,join quality,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
06_reservation_vehicle,classification,classification,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,vehicle_model_id,ERP vehicle model surrogate key.,integer,id,observed,vehicle_model.id / reservation.vehicle_model_id,Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,model_name,model name,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,vehicle_class,vehicle class,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,all_reservation_count,all reservation count,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,valid_reservation_count,valid reservation count,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,canceled_reservation_count,canceled reservation count,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,pending_reservation_count,pending reservation count,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,first_pickup_at_utc,first pickup at utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,last_observed_dropoff_at_utc,last observed dropoff at utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,valid_rows_with_final_price,valid rows with final price,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,valid_booked_final_price_krw_sum_proxy,Model-level booked final price sum for valid reservations; not accounting revenue.,integer,KRW,observed aggregate/proxy,SUM(reservation.final_price),Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,average_booked_final_price_krw_formula,Average among rows with non-null final_price.,formula,KRW/reservation,derived,booked price sum / rows_with_final_price,Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,valid_booked_rental_hours_sum,valid booked rental hours sum,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,valid_joined_vehicle_count_reserved_or_assigned,valid joined vehicle count reserved or assigned,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,customer_insurance_fee_krw_sum_not_cost,Customer insurance fee total; not fleet insurance cost.,integer,KRW,observed aggregate,SUM(reservation_insurance.fee),Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,true_utilization_rate,Requested metric intentionally blank because denominator is unavailable.,blank,ratio,unavailable,requires historical available fleet-hours,Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,true_utilization_status,true utilization status,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,join_method,join method,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
07_reservation_model,classification,classification,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
08_reservation_monthly,pickup_month_utc,pickup month utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
08_reservation_monthly,vehicle_model_id,ERP vehicle model surrogate key.,integer,id,observed,vehicle_model.id / reservation.vehicle_model_id,Unavailable/not applicable/not populated; see status/limitation columns.
