vehicle_id,vehicle_model_id,model_name,vehicle_class,maintenance_event_count,first_maintenance_incoming_at_utc,last_maintenance_release_at_utc,maintenance_cost_krw_sum_observed,legacy_part_price_krw_sum_observed,detail_part_price_krw_sum_observed,mileage_observation_count,min_maintenance_mileage_km,max_maintenance_mileage_km,insurance_cost_krw,insurance_cost_status,classification,cost_warning
7981,2100,업무용차량,CITY,24,2018-10-02 00:00:00,2025-04-11 23:19:00,0,0,0,24,13525,157158,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7982,1843,16/18년 올뉴카니발9인(경유),RV,28,2017-06-17 00:00:00,2024-07-16 00:00:00,0,0,0,28,38515,198278,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7983,1843,16/18년 올뉴카니발9인(경유),RV,28,2017-06-22 00:00:00,2025-01-07 05:43:00,0,0,0,27,47950,211304,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7984,1843,16/18년 올뉴카니발9인(경유),RV,27,2017-10-03 00:00:00,2025-01-14 07:58:00,0,0,0,27,33779,201444,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7985,2100,업무용차량,CITY,30,2017-09-30 00:00:00,2025-05-14 08:26:00,0,0,0,30,35312,196074,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7986,1843,16/18년 올뉴카니발9인(경유),RV,26,2017-11-03 00:00:00,2024-11-25 09:26:00,0,0,0,26,41221,190137,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7987,1843,16/18년 올뉴카니발9인(경유),RV,23,2017-11-29 00:00:00,2024-04-29 09:00:00,0,0,0,23,17211,161791,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7988,1843,16/18년 올뉴카니발9인(경유),RV,22,2017-12-01 00:00:00,2024-05-20 00:00:00,0,0,0,22,17010,163298,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7989,1843,16/18년 올뉴카니발9인(경유),RV,22,2017-11-17 00:00:00,2024-07-09 00:00:00,0,0,0,22,15603,161355,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7990,1843,16/18년 올뉴카니발9인(경유),RV,27,2017-12-01 00:00:00,2024-06-17 00:00:00,0,0,0,27,15227,164980,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7991,1843,16/18년 올뉴카니발9인(경유),RV,21,2017-11-29 00:00:00,2024-07-09 00:00:00,0,0,0,21,13943,166881,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7992,1847,18년 올뉴카니발리무진7인(경유),RV,36,2018-08-28 00:00:00,2026-06-29 07:10:00,0,0,860000,35,13770,155808,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7993,1847,18년 올뉴카니발리무진7인(경유),RV,32,2018-06-18 00:00:00,2026-08-13 09:17:00,0,0,0,31,13030,158429,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7994,1847,18년 올뉴카니발리무진7인(경유),RV,27,2018-11-06 05:50:00,2025-12-01 04:33:00,0,0,0,26,27812,154193,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7995,1847,18년 올뉴카니발리무진7인(경유),RV,31,2018-08-08 00:00:00,2026-07-18 02:06:00,0,0,0,30,27426,160617,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7996,1847,18년 올뉴카니발리무진7인(경유),RV,28,2018-08-27 00:00:00,2026-04-03 09:09:00,0,0,0,28,23559,160336,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7997,1847,18년 올뉴카니발리무진7인(경유),RV,29,2018-08-28 00:00:00,2025-11-18 03:00:00,0,0,300000,28,22648,154996,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7998,1847,18년 올뉴카니발리무진7인(경유),RV,33,2018-11-06 05:30:00,2025-12-30 08:51:00,0,0,0,32,32194,150343,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7999,1847,18년 올뉴카니발리무진7인(경유),RV,27,2017-12-06 00:00:00,2024-07-05 09:00:00,0,0,0,26,19135,139324,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8000,1847,18년 올뉴카니발리무진7인(경유),RV,22,2017-11-06 00:00:00,2024-07-12 09:00:00,0,0,0,21,7306,138600,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8001,1847,18년 올뉴카니발리무진7인(경유),RV,29,2017-12-06 00:00:00,2024-07-05 09:00:00,159600,0,0,28,12462,136624,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8002,1849,18/19년 그랜져IG(휘),LUXURY,25,2018-09-20 00:00:00,2024-12-03 09:45:00,0,0,0,24,20219,175273,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8003,1849,18/19년 그랜져IG(휘),LUXURY,24,2018-09-13 00:00:00,2024-07-09 00:00:00,650210,0,0,23,20653,167616,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8004,1849,18/19년 그랜져IG(휘),LUXURY,21,2019-07-05 00:00:00,2024-06-06 00:00:00,0,0,0,21,10032,135546,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8005,1849,18/19년 그랜져IG(휘),LUXURY,21,2019-06-17 00:00:00,2024-05-30 00:00:00,0,0,0,21,7039,129710,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8006,1849,18/19년 그랜져IG(휘),LUXURY,28,2018-09-04 00:00:00,2024-08-13 00:00:00,0,0,0,27,24591,169313,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8007,1849,18/19년 그랜져IG(휘),LUXURY,32,2018-10-25 00:00:00,2024-07-19 00:00:00,0,0,0,31,24957,166635,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8008,1846,18/19년 쏠라티(15인/경유),RV,43,2018-03-20 00:00:00,2026-08-04 07:47:00,44000,0,2908560,42,6733,141763,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8009,1846,18/19년 쏠라티(15인/경유),RV,44,2018-06-18 00:00:00,2026-07-23 00:00:00,0,0,0,43,6771,142984,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8010,1846,18/19년 쏠라티(15인/경유),RV,33,2019-09-05 00:00:00,2026-08-08 02:52:00,0,0,1796820,33,13523,123592,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8011,1846,18/19년 쏠라티(15인/경유),RV,13,2020-03-14 00:00:00,2024-06-17 00:00:00,0,0,0,13,4291,74339,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8012,1855,18/19년 올뉴 K3(휘),COMPACT,31,2018-09-03 00:00:00,2024-11-04 09:20:00,0,0,0,30,11766,197541,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8013,1855,18/19년 올뉴 K3(휘),COMPACT,32,2018-10-16 00:00:00,2025-01-06 09:48:00,0,0,0,32,10104,195064,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8014,1964,18년 뉴k3(휘),COMPACT,4,2024-11-10 08:50:00,2025-02-14 09:16:00,0,0,202250,4,197269,202252,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8015,1964,18년 뉴k3(휘),COMPACT,2,2024-10-09 00:00:00,2025-02-04 23:52:00,0,0,0,2,83090,195118,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8016,1965,18년 더뉴k5(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8017,1965,18년 더뉴k5(LPG),MIDSIZE,1,2024-07-22 00:00:00,2024-07-22 00:00:00,0,0,0,1,176748,176748,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8018,1965,18년 더뉴k5(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8019,1965,18년 더뉴k5(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8020,1965,18년 더뉴k5(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8021,1965,18년 더뉴k5(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8022,1965,18년 더뉴k5(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8023,1965,18년 더뉴k5(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8024,1966,18년 모닝(휘),URBAN,1,2024-10-31 07:57:00,2024-10-31 07:57:00,0,0,0,1,204071,204071,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8025,1966,18년 모닝(휘),URBAN,1,2024-12-05 03:17:00,2024-12-05 03:17:00,0,0,0,1,199279,199279,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8026,1966,18년 모닝(휘),URBAN,3,2024-09-24 00:00:00,2024-11-05 02:02:00,0,0,0,3,201756,204613,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8027,1966,18년 모닝(휘),URBAN,2,2024-09-03 00:00:00,2024-09-13 00:00:00,0,0,58520,2,190118,190444,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8028,1966,18년 모닝(휘),URBAN,4,2024-06-26 00:00:00,2024-12-05 01:33:00,0,0,58520,4,192042,202190,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8029,1961,18년 스토닉(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8030,1961,18년 스토닉(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8031,1961,18년 스토닉(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8032,1961,18년 스토닉(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8033,1961,18년 스토닉(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8034,1961,18년 스토닉(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8035,1961,18년 스토닉(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8036,1961,18년 스토닉(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8037,1961,18년 스토닉(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8038,1961,18년 스토닉(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8039,1963,18년 쏘나타뉴라이즈(휘),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8040,1963,18년 쏘나타뉴라이즈(휘),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8041,1963,18년 쏘나타뉴라이즈(휘),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8042,1963,18년 쏘나타뉴라이즈(휘),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8043,1963,18년 쏘나타뉴라이즈(휘),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8044,1963,18년 쏘나타뉴라이즈(휘),MIDSIZE,1,2024-08-01 00:00:00,2024-08-01 00:00:00,0,0,0,1,164785,164785,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8045,1963,18년 쏘나타뉴라이즈(휘),MIDSIZE,1,2024-09-09 00:00:00,2024-09-09 00:00:00,0,0,0,1,171559,171559,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8046,1963,18년 쏘나타뉴라이즈(휘),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8047,1963,18년 쏘나타뉴라이즈(휘),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8048,1963,18년 쏘나타뉴라이즈(휘),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8049,1962,18년 쏘나타뉴라이즈(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8050,1962,18년 쏘나타뉴라이즈(LPG),MIDSIZE,1,2024-08-13 00:00:00,2024-08-13 00:00:00,0,0,0,1,189912,189912,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8051,1962,18년 쏘나타뉴라이즈(LPG),MIDSIZE,1,2024-07-29 00:00:00,2024-07-29 00:00:00,0,0,0,1,183737,183737,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8052,1962,18년 쏘나타뉴라이즈(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8053,1962,18년 쏘나타뉴라이즈(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8054,1962,18년 쏘나타뉴라이즈(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8055,1962,18년 쏘나타뉴라이즈(LPG),MIDSIZE,1,2024-08-08 00:00:00,2024-08-08 00:00:00,0,0,0,1,188912,188912,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8056,1962,18년 쏘나타뉴라이즈(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8057,1962,18년 쏘나타뉴라이즈(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8058,1962,18년 쏘나타뉴라이즈(LPG),MIDSIZE,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8059,1848,18년 코나(휘),SUV,1,2024-10-10 00:00:00,2024-10-10 00:00:00,0,0,0,1,182174,182174,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8060,1848,18년 코나(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8061,1848,18년 코나(휘),SUV,1,2024-10-28 06:58:00,2024-10-28 06:58:00,0,0,0,1,191512,191512,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8062,1848,18년 코나(휘),SUV,2,2024-09-26 00:00:00,2024-10-31 07:58:00,0,0,0,2,179088,181751,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8063,1848,18년 코나(휘),SUV,2,2024-09-27 00:00:00,2024-10-26 06:31:00,0,0,0,2,182427,182427,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8064,1848,18년 코나(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8065,1848,18년 코나(휘),SUV,2,2024-07-11 00:00:00,2024-10-31 07:58:00,0,0,0,2,177561,184812,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8066,1848,18년 코나(휘),SUV,1,2024-10-26 06:32:00,2024-10-26 06:32:00,0,0,0,1,189959,189959,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8067,1848,18년 코나(휘),SUV,2,2024-09-13 00:00:00,2024-09-24 00:00:00,0,0,0,2,177642,178544,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8068,1848,18년 코나(휘),SUV,2,2024-11-04 00:00:00,2024-11-18 06:54:00,0,0,0,2,186403,186622,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8069,1848,18년 코나(휘),SUV,28,2018-06-07 00:00:00,2024-06-17 00:00:00,0,0,0,27,14056,167315,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8070,1848,18년 코나(휘),SUV,29,2018-07-06 00:00:00,2024-06-18 00:00:00,0,0,0,28,16256,176295,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8071,1848,18년 코나(휘),SUV,31,2018-06-16 00:00:00,2024-06-24 00:00:00,0,0,0,30,13726,167386,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8072,1848,18년 코나(휘),SUV,27,2018-07-20 00:00:00,2024-07-05 00:00:00,0,0,0,26,17035,177462,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8073,1848,18년 코나(휘),SUV,24,2018-07-12 00:00:00,2024-06-17 00:00:00,0,0,0,23,17403,179248,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8074,1848,18년 코나(휘),SUV,25,2018-09-21 00:00:00,2024-06-17 00:00:00,0,0,0,24,24607,174415,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8075,1848,18년 코나(휘),SUV,22,2018-07-10 00:00:00,2024-06-17 00:00:00,0,0,0,21,19675,176169,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8076,1848,18년 코나(휘),SUV,32,2018-09-01 00:00:00,2024-10-26 06:29:00,385000,0,0,30,24907,185075,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8077,1853,18년 올뉴 쏘렌토(7인/경유),SUV,24,2018-04-18 00:00:00,2024-07-18 00:00:00,0,0,0,22,16030,154646,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8078,1853,18년 올뉴 쏘렌토(7인/경유),SUV,27,2018-09-21 00:00:00,2024-10-01 00:00:00,0,0,0,26,19545,151923,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8079,1853,18년 올뉴 쏘렌토(7인/경유),SUV,24,2018-10-31 00:00:00,2024-09-19 00:00:00,0,0,0,23,21914,155795,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8080,1967,18년 티볼리 아머(휘),SUV,1,2024-09-19 00:00:00,2024-09-19 00:00:00,0,0,0,1,165917,165917,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8081,1967,18년 티볼리 아머(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8082,1967,18년 티볼리 아머(휘),SUV,1,2024-08-08 00:00:00,2024-08-08 00:00:00,0,0,0,1,156367,156367,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8083,1967,18년 티볼리 아머(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8084,1967,18년 티볼리 아머(휘),SUV,0,,,,,0,0,,,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8085,1854,19년 더뉴그랜드스타렉스12인(경유),RV,45,2019-09-17 00:00:00,2026-07-12 04:59:00,0,0,0,45,9938,153079,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8086,1854,19년 더뉴그랜드스타렉스12인(경유),RV,36,2019-07-10 00:00:00,2026-08-17 09:00:00,0,0,0,36,8015,154628,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8087,1862,19/20년 머스탱 컨버터블(휘),IMPORTED,27,2020-08-20 00:00:00,2025-10-05 08:47:00,200000,0,0,27,5743,107485,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8088,1862,19/20년 머스탱 컨버터블(휘),IMPORTED,39,2019-07-31 00:00:00,2025-09-22 07:55:00,0,0,120000,39,6264,138194,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8089,1862,19/20년 머스탱 컨버터블(휘),IMPORTED,35,2019-10-04 00:00:00,2025-08-03 23:25:00,0,0,0,35,3065,137680,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8090,1867,19년 베뉴(휘),SUV,16,2020-03-13 00:00:00,2024-07-19 00:00:00,0,0,0,16,7797,114415,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
8091,1867,19년 베뉴(휘),SUV,17,2020-03-13 00:00:00,2024-09-03 00:00:00,0,0,0,17,5282,112756,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
